InvoiceNo,CompanyName,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
1001,Apple,APPL,5,2023-09-11,150,12345,USA
1002,Microsoft,MSFT,10,2023-09-11,300,67890,Canada
1003,Amazon,AMZN,8,2023-09-12,1800,54321,UK
1004,Alphabet,GOOG,3,2023-09-12,2500,98765,Germany
1005,Facebook,FB,20,2023-09-13,350,13579,France
1006,Tesla,TSLA,7,2023-09-14,700,24680,USA
1007,Netflix,NFLX,12,2023-09-15,400,11223,Canada
1008,Disney,DIS,6,2023-09-16,150,99887,UK
1009,Salesforce,CRM,2,2023-09-17,250,77666,Germany
1010,Adobe,ADBE,15,2023-09-18,300,55443,France
1011,IBM,IBM,3,2023-09-19,120,12345,USA
1012,Intel,INTC,8,2023-09-20,50,67890,Canada
1013,Visa,VISA,10,2023-09-21,200,54321,UK
1014,Boeing,BA,4,2023-09-22,300,98765,Germany
1015,CocaCola,KO,18,2023-09-23,120,13579,France
1016,NVIDIA,NVDA,9,2023-09-24,400,24680,USA
1017,Johnson,JNJ,14,2023-09-25,150,11223,Canada
1018,IBM,IBM,7,2023-09-26,120,99887,UK
1019,Tesla,TSLA,5,2023-09-27,700,77666,Germany
1020,Disney,DIS,22,2023-09-28,150,55443,France
1021,NVIDIA,NVDA,6,2023-09-29,400,12345,USA
1022,Intel,INTC,11,2023-09-30,50,67890,Canada
1023,Amazon,AMZN,9,2023-10-01,1800,54321,UK
1024,Boeing,BA,3,2023-10-02,300,98765,Germany
1025,Facebook,FB,16,2023-10-03,350,13579,France
1026,Microsoft,MSFT,8,2023-10-04,300,24680,USA
1027,Visa,VISA,12,2023-10-05,200,11223,Canada
1028,Adobe,ADBE,4,2023-10-06,300,99887,UK
1029,Tesla,TSLA,10,2023-10-07,700,77666,Germany
1030,Amazon,AMZN,22,2023-10-08,1800,55443,France
1031,CocaCola,KO,5,2023-10-09,120,12345,USA
1032,Facebook,FB,14,2023-10-10,350,67890,Canada
1033,Microsoft,MSFT,7,2023-10-11,300,54321,UK
1034,Alphabet,GOOG,15,2023-10-12,2500,98765,Germany
1035,Netflix,NFLX,6,2023-10-13,400,13579,France
1036,Disney,DIS,11,2023-10-14,150,24680,USA
1037,Salesforce,CRM,9,2023-10-15,250,11223,Canada
1038,IBM,IBM,20,2023-10-16,120,99887,UK
1039,Visa,VISA,8,2023-10-17,200,77666,Germany
1040,Intel,INTC,18,2023-10-18,50,55443,France
1041,NVIDIA,NVDA,14,2023-10-19,400,12345,USA
1042,Tesla,TSLA,3,2023-10-20,700,67890,Canada
1043,Amazon,AMZN,4,2023-10-21,1800,54321,UK
1044,Salesforce,CRM,10,2023-10-22,250,98765,Germany
1045,Alphabet,GOOG,16,2023-10-23,2500,13579,France
1046,Microsoft,MSFT,12,2023-10-24,300,24680,USA
1047,Visa,VISA,5,2023-10-25,200,11223,Canada
1048,Netflix,NFLX,9,2023-10-26,400,99887,UK
1049,Adobe,ADBE,22,2023-10-27,300,77666,Germany
1050,CocaCola,KO,7,2023-10-28,120,55443,France
1051,Tesla,TSLA,14,2023-10-29,700,12345,USA
1052,Disney,DIS,6,2023-10-30,150,67890,Canada
1053,Intel,INTC,11,2023-10-31,50,54321,UK
1054,Boeing,BA,15,2023-11-01,300,98765,Germany
1055,IBM,IBM,7,2023-11-02,120,13579,France
1056,Microsoft,MSFT,10,2023-11-03,300,24680,USA
1057,Amazon,AMZN,12,2023-11-04,1800,11223,Canada
1058,NVIDIA,NVDA,18,2023-11-05,400,99887,UK
1059,Facebook,FB,4,2023-11-06,350,77666,Germany
1060,CocaCola,KO,3,2023-11-07,120,55443,France
1061,Adobe,ADBE,5,2023-11-08,300,12345,USA
1062,Tesla,TSLA,14,2023-11-09,700,67890,Canada
1063,Salesforce,CRM,6,2023-11-10,250,54321,UK
1064,Intel,INTC,9,2023-11-11,50,98765,Germany
1065,Boeing,BA,20,2023-11-12,300,13579,France
1066,Microsoft,MSFT,8,2023-11-13,300,24680,USA
1067,NVIDIA,NVDA,7,2023-11-14,400,11223,Canada
1068,Visa,VISA,16,2023-11-15,200,99887,UK
1069,Amazon,AMZN,3,2023-11-16,1800,77666,Germany
1070,Alphabet,GOOG,5,2023-11-17,2500,55443,France
